FinalDictionarySize,ArrayDictionaryPut,ChainedHashDictionaryPut
0,0,0
100,0,0
200,0,0
300,0,0
400,0,0
500,0,0
600,1,0
700,0,0
800,1,0
900,1,0
1000,1,0
1100,1,0
1200,1,0
1300,1,0
1400,2,0
1500,2,0
1600,3,0
1700,3,0
1800,3,0
1900,3,0
2000,4,0
2100,4,0
2200,5,0
2300,5,0
2400,6,0
2500,5,0
2600,6,0
2700,7,0
2800,7,0
2900,8,0
3000,8,0
3100,10,1
3200,10,0
3300,10,0
3400,11,0
3500,12,0
3600,12,0
3700,12,0
3800,14,0
3900,14,0
4000,15,0
4100,16,0
4200,17,0
4300,17,0
4400,18,0
4500,19,0
4600,20,0
4700,21,0
4800,22,0
4900,22,0
5000,24,1
5100,25,0
5200,26,1
5300,27,1
5400,30,1
5500,30,1
5600,31,1
5700,31,0
5800,33,1
5900,34,1
6000,35,1
6100,37,1
6200,38,1
6300,41,1
6400,43,1
6500,43,0
6600,45,1
6700,46,1
6800,47,0
6900,49,1
7000,51,0
7100,52,1
7200,55,1
7300,55,1
7400,58,0
7500,59,1
7600,63,0
7700,64,1
7800,67,0
7900,76,1
8000,72,1
8100,72,1
8200,75,1
8300,75,0
8400,75,1
8500,78,0
8600,82,1
8700,81,0
8800,84,1
8900,86,1
9000,92,1
9100,96,1
9200,96,1
9300,101,1
9400,107,1
9500,102,1
9600,104,1
9700,105,1
9800,106,1
9900,108,1
10000,114,1
10100,112,0
10200,114,1
10300,118,1
10400,121,1
10500,121,1
10600,124,1
10700,128,2
10800,129,2
10900,131,1
11000,135,2
11100,137,2
11200,142,2
11300,144,1
11400,146,1
11500,151,1
11600,151,1
11700,151,1
11800,155,1
11900,156,1
12000,159,1
12100,164,1
12200,167,1
12300,169,1
12400,178,1
12500,174,1
12600,182,1
12700,180,1
12800,183,1
12900,186,1
13000,189,1
13100,194,1
13200,196,1
13300,198,1
13400,203,2
13500,205,1
13600,209,1
13700,212,1
13800,216,1
13900,217,1
14000,221,2
14100,226,1
14200,230,1
14300,232,1
14400,238,2
14500,241,1
14600,242,1
14700,252,1
14800,260,1
14900,260,1
15000,255,1
15100,260,2
15200,261,1
15300,265,1
15400,272,1
15500,270,1
15600,276,1
15700,286,1
15800,283,1
15900,299,2
16000,307,1
16100,306,1
16200,308,1
16300,308,1
16400,307,2
16500,313,1
16600,312,1
16700,331,2
16800,322,2
16900,340,2
17000,350,1
17100,335,2
17200,341,2
17300,348,2
17400,344,2
17500,346,2
17600,353,2
17700,360,2
17800,368,2
17900,367,2
18000,368,2
18100,382,2
18200,377,2
18300,406,2
18400,398,2
18500,391,1
18600,398,1
18700,399,2
18800,409,1
18900,413,2
19000,410,1
19100,419,2
19200,431,2
19300,441,2
19400,460,2
19500,434,2
19600,445,2
19700,449,2
19800,456,2
19900,450,2
